id,budget,genres,homepage,overview,production_companies,production_countries,release_date,runtime,spoken_languages,title,vote_average,cast
9016,140m usd,"['Adventure', 'Animation', 'Family', 'Fantasy', 'Science Fiction']",,"When space galleon cabin boy Jim Hawkins discovers a map to an intergalactic ""loot of a thousand worlds,"" a cyborg cook named John Silver teaches him to battle supernovas and space storms. But, soon, Jim realizes Silver is a pirate intent on mutiny!","['Walt Disney Pictures', 'Walt Disney Feature Animation']",['United States of America'],2002-11-26,1h 35m,['English'],Treasure Planet,7.2,"['Joseph Gordon-Levitt', 'Brian Murray', 'David Hyde Pierce', 'Emma Thompson', 'Michael Wincott', 'Martin Short', 'Laurie Metcalf', 'Roscoe Lee Browne', 'Patrick McGoohan', 'Dane A. Davis', 'Corey Burton', 'Michael McShane', 'Austin Majors', 'Tony Jay', 'Jack Angel', 'Bob Bergen', 'Rodger Bumpass', 'Jane Carr', 'John Cygan', 'Jennifer Darling', 'Paul Eiding', 'Sherry Lynn', 'Mona Marshall', 'Mickie McGowan', 'Patrick Pinney', 'Phil Proctor', 'Jeremy Suarez', 'Jim Ward']"
18162,100m usd,"['Adventure', 'Comedy', 'Science Fiction']",,"On his latest expedition, Dr. Rick Marshall is sucked into a space-time vortex alongside his research assistant and a redneck survivalist. In this alternate universe, the trio make friends with a primate named Chaka, their only ally in a world full of dinosaurs and other fantastic creatures.","['Universal Pictures', 'Mosaic Media Group', 'Relativity Media', 'Sid & Marty Krofft Pictures']",['United States of America'],2009-06-05,1h 42m,['English'],Land of the Lost,5.3,"['Will Ferrell', 'Anna Friel', 'Danny McBride', 'Jorma Taccone', 'Matt Lauer', ""Bobb'e J. Thompson"", 'Sierra McCormick', 'Shannon Lemke', 'Stevie Wash Jr.', 'Brian Huskey', 'Kevin Buitrago', 'Noah Crawford', 'Jon Kent Ethridge', 'Logan Manus', 'John Boylan', 'Marti Matulis', 'Kiernan Shipka', 'Dylan Sprayberry']"
138103,90m usd,"['Action', 'Adventure', 'Thriller']",http://theexpendables3film.com/,"Barney, Christmas and the rest of the team comes face-to-face with Conrad Stonebanks, who years ago co-founded The Expendables with Barney. Stonebanks subsequently became a ruthless arms trader and someone who Barney was forced to kill… or so he thought. Stonebanks, who eluded death once before, now is making it his mission to end The Expendables -- but Barney has other plans. Barney decides that he has to fight old blood with new blood, and brings in a new era of Expendables team members, recruiting individuals who are younger, faster and more tech-savvy. The latest mission becomes a clash of classic old-school style versus high-tech expertise in the Expendables’ most personal battle yet.","['Davis-Films', 'Nu Image Films', 'LionsGate', 'Millennium Films', 'Ex3 Productions', 'Fipex Holding']","['France', 'United States of America']",2014-08-04,2h 7m,['English'],The Expendables 3,6.1,"['Sylvester Stallone', 'Jason Statham', 'Harrison Ford', 'Arnold Schwarzenegger', 'Mel Gibson', 'Wesley Snipes', 'Randy Couture', 'Dolph Lundgren', 'Terry Crews', 'Kelsey Grammer', 'Glen Powell', 'Antonio Banderas', 'Victor Ortiz', 'Ronda Rousey', 'Kellan Lutz', 'Jet Li', 'Ivan Kostadinov', 'Robert Davi', 'Nikolay Stoyanov Ilchev', 'Daniel Angelov', 'Slavi Slavov', 'Dimiter Doichinov', 'Nikolay Stanoev', 'Harry Anichkin', 'Boswell Maloka', 'Natalie Burn', 'Velizar Binev', 'Sarai Givaty', 'Liubomir Simeonov', 'Frank Pesce', 'Thomas Canestraro']"
257088,105m usd,"['Action', 'Crime', 'Thriller']",https://www.facebook.com/PointBreakMovie,"A young undercover FBI agent infiltrates a gang of thieves who share a common interest in extreme sports. A remake of the 1991 film, ""Point Break"".","['Studio Babelsberg', 'Alcon Entertainment', 'DMG Entertainment', 'Ehman Productions']","['Germany', 'United States of America', 'China']",2015-12-03,1h 54m,['English'],Point Break,5.5,"['Edgar Ramírez', 'Luke Bracey', 'Teresa Palmer', 'Delroy Lindo', 'Ray Winstone', 'Tobias Santelmann', 'James Le Gros', 'BoJesse Christopher', 'Clemens Schick', 'Matias Varela', 'Nikolai Kinski', 'Judah Lewis', 'Senta Dorothea Kirschner', 'Max Thieriot']"
10214,84m usd,"['Fantasy', 'Comedy', 'Family', 'Adventure']",,"Tim Avery, an aspiring cartoonist, finds himself in a predicament when his dog stumbles upon the mask of Loki. Then after conceiving an infant son ""born of the mask"", he discovers just how looney child raising can be.","['New Line Cinema', 'Pathé Distribution']","['Germany', 'United States of America']",2005-02-18,1h 34m,['English'],Son of the Mask,3.6,"['Jamie Kennedy', 'Alan Cumming', 'Traylor Howard', 'Kal Penn', 'Steven Wright', 'Bob Hoskins', 'Ben Stein']"
205775,100m usd,"['Thriller', 'Drama', 'Adventure', 'Action', 'History']",http://www.intheheartoftheseamovie.com/,"In the winter of 1820, the New England whaling ship Essex was assaulted by something no one could believe: a whale of mammoth size and will, and an almost human sense of vengeance.  The real-life maritime disaster would inspire Herman Melville’s Moby Dick.  But that told only half the story.  “Heart of the Sea” reveals the encounter’s harrowing aftermath, as the ship’s surviving crew is pushed to their limits and forced to do the unthinkable to stay alive.  Braving storms, starvation, panic and despair, the men will call into question their deepest beliefs, from the value of their lives to the morality of their trade, as their captain searches for direction on the open sea and his first mate still seeks to bring the great whale down.","['Imagine Entertainment', 'Spring Creek Productions', 'Warner Bros.', 'Roth Films', 'K. JAM Media', 'Cott Productions', 'Surf Film', 'Enelmar Productions, A.I.E.']",['United States of America'],2015-11-20,2h 2m,['English'],In the Heart of the Sea,6.5,"['Chris Hemsworth', 'Benjamin Walker', 'Cillian Murphy', 'Brendan Gleeson', 'Ben Whishaw', 'Michelle Fairley', 'Tom Holland', 'Paul Anderson', 'Frank Dillane', 'Joseph Mawle', 'Edward Ashley', 'Sam Keeley', 'Osy Ikhile', 'Gary Beadle', 'Jamie Sives', 'Morgan Chetcuti', 'Charlotte Riley', 'Nicholas Jones', 'Donald Sumpter', 'Richard Bremmer', 'Jordi Mollà', 'Hayley Joanne Bacon', 'Andrew Crayford', 'Claudia Newman', 'Daniel Westwood', 'Andy Wareham']"
11692,100m usd,"['Action', 'Comedy', 'Science Fiction']",,"The year is 2087, the setting is the moon. Pluto Nash, the high-flying successful owner of the hottest nightclub in the universe, finds himself in trouble when he refuses to sell his club to lunar gangster Mogan, who just happens to be helping the mysterious Rex Crater mastermind a plan to take over the entire moon.","['Village Roadshow Pictures', 'Castle Rock Entertainment', 'NPV Entertainment', ""Mel's Cite du Cinema""]","['Australia', 'United States of America']",2002-08-15,1h 35m,['English'],The Adventures of Pluto Nash,4.4,"['Eddie Murphy', 'Randy Quaid', 'Rosario Dawson', 'Joe Pantoliano', 'Jay Mohr', 'Luis Guzmán', 'Peter Boyle', 'Burt Young', 'Pam Grier', 'John Cleese', 'Illeana Douglas', 'Alex Sol', 'Heidi Kramer', 'Alissa Kramer']"
22972,100m usd,"['War', 'Action', 'Adventure', 'Drama', 'Thriller']",http://www.greenzonemovie.com/,"During the U.S.-led occupation of Baghdad in 2003, Chief Warrant Officer Roy Miller and his team of Army inspectors were dispatched to find weapons of mass destruction believed to be stockpiled in the Iraqi desert. Rocketing from one booby-trapped and treacherous site to the next, the men search for deadly chemical agents but stumble instead upon an elaborate cover-up that threatens to invert the purpose of their mission.","['Universal Pictures', 'StudioCanal', 'Dentsu', 'Relativity Media', 'Working Title Films']","['Spain', 'United Kingdom', 'United States of America', 'France']",2010-03-11,1h 55m,"['English', 'العربية']",Green Zone,6.4,"['Matt Damon', 'Greg Kinnear', 'Brendan Gleeson', 'Amy Ryan', 'Jason Isaacs', 'Khalid Abdalla', 'Igal Naor', 'Antoni Corone', 'Said Faraj', ""Michael O'Neill"", 'Jerry Della Salla', 'Faycal Attougui', 'Aymen Hamdouchi', 'Nicoye Banks', 'Sean Huze', 'Michael Dwyer', 'Edouard H.R. Gluck', 'Brian Siefkes', 'Adam Wendling', 'Abdul Henderson', 'Paul Karsko', 'Robert Miller', 'Eugene Cherry', 'Alexander Drum', 'Brian VanRiper', 'Matthew Knott', 'Nathan Lewis', 'John Roberson', 'Troy Brown', 'Raad Rawi', 'Bijan Daneshmand', 'Bryan Reents', 'Michael Judge', 'Patrick St. Esprit', 'Allen Vaught', 'Paul Rieckhoff', 'Martin McDougall', 'Antoni Corone', 'Timothy Ahern', 'Ben Sliney', 'Whitley Bruner', 'Intishal Al Timimi', 'Driss Roukhe', 'Muayad Ali', 'Jamal Selmaoui', 'Mohamed Kafi', 'Kadhum Sabur', 'Hillal Boubker', 'Soumaya Akaaboune', 'Thamou El Metouani', 'Salah Eddine Elamari', 'Naji El Jouhary', 'Aroun Benchkaroun', 'Hajar Machroune', 'Scott Berendes', 'Abdelkrim Assad', 'Michael Diaz', 'Tyler Christen', 'Adam Mackey', 'Ben Holland', 'Jeffrey John Carisalez', 'Jonathan Stone', 'James Hodges', 'Larry Lewis', 'William Oakes', 'Ziad Adwan', 'Ian Bendel', 'Venie Joshua', 'Miguel Berroa', 'Peter Shayhorn', 'Miguel Palaugalarza', 'Christopher Lilly', 'Sabir Ed-Dayab', 'Omar Berdouni', 'Alex Moore', 'Alistair Bailey', 'Eric Loren', 'Paul Cloutier', 'Wallace Bagwell', 'William Meredith', 'Tommy Campbell', 'James Wills', 'Jered Bezemek', 'Johnny Nilsson', 'Salman Hassan', 'Ammar Khdir', 'Youssif Falah-Jassem', 'Latif Al Anzi']"
227973,99m usd,['Animation'],http://www.peanutsmovie.com/,"Snoopy embarks upon his greatest mission as he and his team take to the skies to pursue their arch-nemesis, while his best pal Charlie Brown begins his own epic quest back home.","['Blue Sky Studios', 'Twentieth Century Fox Animation']",['United States of America'],2015-11-05,1h 28m,['English'],The Peanuts Movie,6.5,"['Noah Schnapp', 'Bill Melendez', 'Venus Schultheis', 'Hadley Belle Miller', 'Madisyn Shipman', 'Francesca Capaldi', 'Noah Johnston', 'Alexander Garfin', 'Mariel Sheets', 'A.J. Tecce', 'Marleik Mar Mar Walker', 'Rebecca Bloom', 'Anastasia Bredikhina', 'William Wunsch']"
1734,98m usd,"['Adventure', 'Action', 'Fantasy']",,"Rick and Evelyn O'Connell, along with their 8 year old son Alex, discover the key to the legendary Scorpion King's might, the fabled Bracelet of Anubis. Unfortunately, a newly resurrected Imhotep has designs on the bracelet as well, and isn't above kidnapping its new bearer, Alex, to gain control of Anubis' otherworldly army.","['Universal Pictures', 'Alphaville Films', 'Imhotep Productions']",['United States of America'],2001-04-28,2h 10m,"['English', 'العربية']",The Mummy Returns,6.0,"['Brendan Fraser', 'Rachel Weisz', 'John Hannah', 'Arnold Vosloo', 'Oded Fehr', 'Dwayne Johnson', 'Freddie Boath', 'Patricia Velásquez', 'Alun Armstrong', 'Adewale Akinnuoye-Agbaje', 'Shaun Parkes', 'Bruce Byron', 'Joe Dixon', 'Thomas Fisher', 'Aharon Ipalé', 'Quill Roberts', 'Donna Air', 'Trevor Lovell', 'Tom Fisher']"
